Lateral,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Loop_Time_s,Goal_Reached,Termination,REQ1_Lateral_Pass,REQ1_Lon_Pass,Overall_Pass
stanley,pid,GDP-S1,0.5,constant,110.0965,197.9092,36.7238,0.0688,0.1074,400,false,max_travel_time,FAIL,PASS,FAIL
stanley,pid,GDP-S2,2,constant,235.1456,409.6834,56.2363,0.0796,1.4929,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,3,profile,166.7718,266.7309,53.4319,0.1366,2.4534,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,4,profile,158.0933,266.083,55.8126,0.2327,2.9908,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,5,profile,154.3121,261.5353,55.3614,0.2728,3.2708,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,7,profile,206.2992,360.3831,53.0046,0.3349,3.4444,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3-EXT,10,constant,680.4586,1222.7319,56.5302,1.2836,9.4929,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S1,0.5,constant,109.7571,197.4797,36.7296,0.0661,0.0927,400,false,max_travel_time,FAIL,PASS,FAIL
stanley,lqr,GDP-S2,2,constant,232.2443,405.6488,55.8202,0.0631,1.4929,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,3,profile,166.5009,266.4022,53.4277,0.1289,2.4534,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,4,profile,158.7774,266.9267,55.8421,0.2266,2.9908,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,5,profile,154.9628,262.3261,55.3636,0.2668,3.2708,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,7,profile,207.426,361.8477,53.0122,0.3081,3.4444,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3-EXT,10,constant,680.3049,1222.4732,56.4343,1.2516,9.4929,150,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S1,0.5,constant,8.8452,27.1434,50.7756,0.0583,0.1015,400,false,max_travel_time,FAIL,PASS,FAIL
pure_pursuit,pid,GDP-S2,2,constant,0.6109,2.0529,3.0511,0.0948,1.4929,174.8,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,3,profile,0.3569,1.3106,6.9505,0.1727,2.4534,250,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,4,profile,0.6824,2.0514,3.4107,0.2774,2.9908,139.9,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,5,profile,0.6964,2.0484,3.4775,0.3438,3.2708,134.55,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,7,profile,0.8502,2.5125,4.1375,0.5091,3.4444,93.95,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3-EXT,10,constant,1.3885,4.6603,8.7039,2.6529,9.4929,35.05,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S1,0.5,constant,8.7235,26.8816,50.6865,0.0555,0.0846,400,false,max_travel_time,FAIL,PASS,FAIL
pure_pursuit,lqr,GDP-S2,2,constant,0.6113,2.0432,3.0425,0.0751,1.4929,174.8,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,3,profile,0.5003,1.3043,8.8173,0.1362,2.4534,250,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,4,profile,0.6827,2.0563,3.4009,0.2364,2.9908,139.7,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,5,profile,0.6974,2.0523,3.4873,0.2847,3.2708,134,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,7,profile,0.8585,2.5207,4.148,0.3944,3.4444,93.35,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3-EXT,10,constant,1.4924,4.908,8.6408,2.5837,9.4929,35.15,true,goal_reached,FAIL,FAIL,FAIL
mpc,pid,GDP-S1,0.5,constant,0.1684,0.2906,25.4814,0.0217,0.1194,400,false,max_travel_time,PASS,PASS,PASS
mpc,pid,GDP-S2,2,constant,0.0616,0.2101,2.0216,0.0949,1.4929,177.75,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3,3,profile,0.0513,0.1369,8.8416,0.1741,2.4534,250,false,max_travel_time,PASS,FAIL,FAIL
mpc,pid,GDP-S3,4,profile,0.0687,0.2143,2.2346,0.2742,2.9908,142.85,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3,5,profile,0.0698,0.2128,2.2775,0.3396,3.2708,137.5,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3,7,profile,0.0927,0.2874,2.6995,0.5001,3.4444,96.5,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3-EXT,10,constant,1.95,7.8328,10.2699,2.6368,9.4929,36.7,true,goal_reached,FAIL,FAIL,FAIL
