Lateral,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
stanley,pid,GDP-S1,0.5,constant,109.5652,197.0042,36.7361,0.0626,0.0843,0.3504,0.3391,400,false,max_travel_time,FAIL,PASS,FAIL
stanley,pid,GDP-S2,2,constant,232.1826,405.5719,55.816,0.0681,1.4929,0.7383,0.1012,250,false,max_travel_time,FAIL,PASS,FAIL
stanley,pid,GDP-S3,3,profile,162.2081,254.3312,61.7873,0.141,2.4534,1.8199,0.163,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,4,profile,160.5514,268.8686,55.7075,0.2476,2.9908,2.733,0.3308,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,5,profile,159.0444,266.8584,55.1709,0.2787,3.2708,3.2454,0.4084,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,7,profile,212.2312,368.1527,53.0847,0.2986,3.4444,3.5854,0.4722,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3-EXT,10,constant,680.706,1223.4058,56.8003,1.3708,9.4929,23.5029,4.3915,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S1,0.5,constant,109.4927,196.8664,36.7475,0.0609,0.0775,0.1628,0.1587,400,false,max_travel_time,FAIL,PASS,FAIL
stanley,lqr,GDP-S2,2,constant,232.2486,405.6673,55.8244,0.0673,1.4929,0.7383,0.0999,250,false,max_travel_time,FAIL,PASS,FAIL
stanley,lqr,GDP-S3,3,profile,162.2136,254.3282,61.7653,0.1351,2.4534,1.8199,0.1589,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,4,profile,160.7051,269.0608,55.716,0.2361,2.9908,2.733,0.335,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,5,profile,159.1989,267.0475,55.1765,0.269,3.2708,3.2454,0.4107,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,7,profile,212.4189,368.4231,53.0932,0.2889,3.4444,3.5854,0.4727,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3-EXT,10,constant,680.5602,1223.2977,56.691,1.3194,9.4929,23.5029,4.3987,150,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S1,0.5,constant,8.631,26.6655,50.6271,0.0523,0.0772,0.3469,0.2658,400,false,max_travel_time,FAIL,PASS,FAIL
pure_pursuit,pid,GDP-S2,2,constant,0.6031,2.0205,3.0314,0.0812,1.4929,0.7375,0.1064,174.85,true,goal_reached,FAIL,PASS,FAIL
pure_pursuit,pid,GDP-S3,3,profile,0.4027,1.5286,6.1048,0.1413,2.4534,1.8206,0.1625,250,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,4,profile,0.6759,2.0251,3.3835,0.2576,2.9908,2.7358,0.3484,139.4,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,5,profile,0.6912,2.0206,3.4469,0.297,3.2708,3.249,0.4405,133.15,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,7,profile,0.8513,2.4937,4.0914,0.3797,3.4444,3.5896,0.6011,93.8,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3-EXT,10,constant,1.1286,4.1162,7.6306,2.854,9.4929,23.5221,9.0665,34.9,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S1,0.5,constant,8.6129,26.6276,50.6266,0.051,0.0736,0.1607,0.126,400,false,max_travel_time,FAIL,PASS,FAIL
pure_pursuit,lqr,GDP-S2,2,constant,0.6033,2.0266,3.0388,0.0798,1.4929,0.7375,0.1023,174.85,true,goal_reached,FAIL,PASS,FAIL
pure_pursuit,lqr,GDP-S3,3,profile,0.4026,1.5212,6.0828,0.1372,2.4534,1.8206,0.1606,250,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,4,profile,0.6754,2.0256,3.3767,0.2443,2.9908,2.7358,0.3492,139.4,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,5,profile,0.691,2.0196,3.474,0.2847,3.2708,3.249,0.4385,133.1,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,7,profile,0.8521,2.5097,4.1435,0.3657,3.4444,3.5896,0.5952,93.75,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3-EXT,10,constant,1.3589,4.8337,8.4507,2.7509,9.4929,23.5221,9.0745,34.95,true,goal_reached,FAIL,FAIL,FAIL
mpc,pid,GDP-S1,0.5,constant,0.1707,0.3041,25.564,0.0192,0.0823,0.2042,0.1057,400,false,max_travel_time,PASS,PASS,PASS
mpc,pid,GDP-S2,2,constant,0.0603,0.2068,2.0089,0.0807,1.4929,0.7396,0.1103,177.85,true,goal_reached,PASS,PASS,PASS
mpc,pid,GDP-S3,3,profile,0.0349,0.1482,6.593,0.1412,2.4534,1.8216,0.1639,250,false,max_travel_time,PASS,FAIL,FAIL
